lexid,filename,word,sentence
adj ppr. [1] md.,mbh03_14654.xml,kftam,"['saraH', 'ca', 'idam', 'asya', 'dakziRA', 'dattABiH', 'goBiH', 'ati', 'kramamARABiH', 'kftam']"
adj ppr. [1] md.,mbh03_14651.xml,visaYjYa,"['sa', 'muhUrtam', 'DyAtvA', 'bAzpa', 'pUrRa', 'nayanaH', 'ud', 'vigna', 'hfdayaH', 'vepamAnaH', 'visaYjYa', 'kalpaH', 'prAYjaliH', 'abravIt']"
 cab,mbh03_14467.xml,ni,"['te', 'BItAH', 'maRqUka', 'rAjYe', 'yaTA', 'vfttam', 'ni', 'avedayan']"
 cab,pt584.xml,saYjIvaka,"['araRya', 'DarmAt', 'vi', 'yojya', 'grAma', 'Darmezu', 'ni', 'yojitaH', 'kim', 'bahunA', 'prati', 'aham', 'saYjIvaka', 'piNgalakO', 'kevalam', 'rahasyam', 'miTaH', 'mantrayete']"
gerundive_tavya,pt1317.xml,Bavitavyam,"['anena', 'tasya', 'rAjYaH', 'GAtakena', 'Bavitavyam']"
gerundive_tavya,pt190.xml,kartavyam,"['rAja', 'mAtari', 'devyAm', 'ca', 'kumAre', 'muKya', 'mantriRi', 'puras', 'hite', 'pratIhAre', 'kartavyam', 'rAjavat', 'sadA']"
adj_comp,pt1445.xml,drutataram,"['kiyantam', 'api', 'aDvAnam', 'gatvA', 'yaTA', 'Sakti', 'kam', 'api', 'aSana', 'upAyam', 'kftvA', 'drutataram', 'punaH', 'A', 'gacCa']"
adj_comp,pt1068.xml,laGutarasya,"['svAmin', 'adya', 'samasta', 'mfgEH', 'jAti', 'krameRa', 'prastAvam', 'vi', 'jYAya', 'laGutarasya', 'tarasya', 'mama', 'tataH', 'paYca', 'SaSakEH', 'saha', 'aham', 'pra', 'IzitaH']"
ctp_na,pt540.xml,cirAt,"['asya', 'sammAnasya', 'a', 'cirAt', 'eva', 'drakzyasi', 'rAja', 'prasAda', 'Adi', 'Palam']"
ctp_na,pt857.xml,BAve,"['tatra', 'praTamam', 'tAvat', 'svAmi', 'amAtya', 'janapada', 'durga', 'koSa', 'daRqa', 'mitrARAm', 'ekatamasya', 'tamaH', 'yA', 'api', 'a', 'BAve', 'a', 'BAv', 'A', 'Kyam', 'ava', 'gantavyam']"
noun_action,pt846.xml,pAnam,"['striyaH', 'akzAH', 'mfgayA', 'pAnam', 'vAk', 'pAruzyam', 'ca', 'paYcamam', 'mahat', 'ca', 'daRqa', 'pAruzyam', 'arTa', 'dUzaRam', 'eva', 'ca']"
noun_action,pt859.xml,pAnam,"['prasaNgaH', 'pUrvam', 'uktaH', 'eva', 'striyaH', 'akzAH', 'mfgayA', 'pAnam', 'ityAdi']"
cau ppf_actn,pt560.xml,yojayAm,"['evam', 'an', 'ekaDA', 'vi', 'nis', 'citya', 'dantilam', 'sam', 'A', 'hUya', 'nija', 'aNga', 'ABaraRAni', 'vastrARi', 'ca', 'sam', 'yojya', 'sva', 'aDikAre', 'ni', 'yojayAm', 'Asa']"
