,sentID,sent,words,countWords,countVerbs,repatingSeq,repatingNouns
0,mbh12_26165.xml,"n1s,i,x6s,n1s,iic,m3s,n1s,n1s,fut a3s","etat,ca,te,toyam,vaqavAmuKa,saYjYitena,pIyamAnam,maDuram,Bavizyati",9,1,"{'n1s': [0, 3, 6, 7]}","{'nominative': [0, 1, 3, 4]}"
1,mbh03_14648.xml,"n2s,i,m1s,m1s,n5s,n5s,iic,i,i,ipf[1] a3s,i,pre[1] a1p,x1p,n6s,n6s,n7s","etat,SrutvA,sa,kacCapaH,tasmAt,sarasaH,ut,TAya,aBi,agacCat,yatra,tizWAmaH,vayam,tasya,sarasaH,tIre",16,2,"{'i': [1, 7, 8, 10], 'm1s': [2, 3], 'n6s': [13, 14], 'n5s': [4, 5]}","{'genitive': [5, 6], 'ablative': [3, 4], 'nominative': [1, 2]}"
2,mbh03_14603.xml,"iic,f1s,prf a3s","rAja,putrI,uvAca",3,1,{},{}
3,mbh12_26044.xml,"m2p,m1s,prf a3s,m1s,m1s,n2s,pre[4] m3s,m1s","tAn,brahma,uvAca,fziH,BArgavaH,tapaH,tapyate,daDIcaH",8,2,"{'m1s': [1, 3, 4, 7]}","{'accusative': [0, 4], 'nominative': [1, 2, 3, 5]}"
4,mbh03_14642.xml,"m1s,x2p,ipf[2] a3s,pre[2] a3s,i,i,i,n7s,m1s,n1s,m1s,i,pre[1] a3s","sa,naH,abravIt,asti,Kalu,iha,eva,sarasi,akUparaH,nAma,kacCapaH,prati,vasati",13,3,"{'i': [4, 5, 6, 11], 'm1s': [0, 8, 10]}","{'nominative': [0, 2, 3, 4]}"
5,mbh03_14557.xml,"m3p,x1s,ipv[2] a2s,m6s,m1s,m1s,x6s,m1d,i,x6s,m1d,i,ipv[2] a2s","tEH,tvam,yAhi,kzatriyasya,eza,vAhaH,mama,vAmyO,na,tava,etO,hi,vidDi",13,1,"{'i': [8, 11], 'x6s': [6, 9], 'ipv[2] a2s': [2, 12], 'm1s': [4, 5], 'm1d': [7, 10]}","{'nominative': [2, 3, 4, 5]}"
6,mbh12_26053.xml,"m6s,iic,m7s,iic,m7s,n2p,n2p,m1s,iic,i,n2s,ipf[8] a3s","tasya,parama,Atmani,ava,sfte,tAni,asTIni,DAtA,sam,gfhya,vajram,akarot",12,1,"{'m7s': [2, 4], 'n2p': [5, 6], 'iic': [1, 3, 8]}","{'accusative': [3, 4, 6], 'locative': [1, 2]}"
7,mbh12_26043.xml,"n2s,pre[1] a2s,x4p,iic,i,n2s,n2s,iic,n2s,i","tat,arhasi,naH,vi,DAtum,SreyaH,yat,an,antaram,iti",10,1,"{'n2s': [0, 5, 6, 8], 'i': [4, 9], 'iic': [3, 7]}","{'accusative': [0, 1, 2, 3]}"
8,mbh03_14586.xml,"m1p,i,pre[1] a1s,x4p,n2s,i,pre[2] a1s,m2s,m2s,i,iic,i","ikzvAkavaH,hanta,carAmi,vaH,priyam,ni,hanmi,imam,vipram,adya,pra,maTya",12,2,"{'i': [1, 5, 9, 11], 'm2s': [7, 8]}","{'accusative': [1, 2, 3]}"
9,mbh12_26034.xml,"i,f2p,m1s,ipf[2] a3s,i,i,iic,m1p,m1p,i,fut a3p,i","aTa,tAH,viSvarUpaH,abravIt,adya,eva,sa,indrAH,devAH,na,Bavizyanti,iti",12,2,"{'i': [0, 4, 5, 9, 11], 'm1p': [7, 8]}","{'nominative': [1, 2, 3]}"
11,mbh12_26166.xml,"n1s,n1s,i,i,iic,n3s,iic,m3s,n1s,n1s,pre p3s","tat,etat,adya,api,vaqavAmuKa,saYjYitena,anu,vartinA,toyam,sAmudram,pIyate",11,1,"{'i': [2, 3], 'n1s': [0, 1, 8, 9], 'iic': [4, 6]}","{'instrumental': [2, 3], 'nominative': [0, 1, 4, 5]}"
13,mbh12_26080.xml,"m6s,m7s,x2s,i,fut a1s,n3p,i,i,n3p,i","tasya,avaBfTe,tvAm,upa,gamizyAmi,kEH,cit,eva,ahoBiH,iti",10,1,"{'i': [3, 6, 7, 9], 'n3p': [5, 8]}","{'instrumental': [2, 3]}"
