sentID,sent,words,lexids
mbh12_26165.xml,"n1s,i,x6s,n1s,iic,m3s,n1s,n1s,fut a3s","etat,ca,te,toyam,vaqavAmuKa,saYjYitena,pIyamAnam,maDuram,Bavizyati","0,0,0,0,pn, ctp6,ctp3,adj ppr. ps.,0,0"
mbh03_14648.xml,"n2s,i,m1s,m1s,n5s,n5s,iic,i,i,ipf[1] a3s,i,pre[1] a1p,x1p,n6s,n6s,n7s","etat,SrutvA,sa,kacCapaH,tasmAt,sarasaH,ut,TAya,aBi,agacCat,yatra,tizWAmaH,vayam,tasya,sarasaH,tIre","0,abs,0,0,0,0,preverb,abs,preverb,0,0,0,0,0,0,0"
mbh03_14603.xml,"iic,f1s,prf a3s","rAja,putrI,uvAca","0,ctp6,0"
mbh12_26044.xml,"m2p,m1s,prf a3s,m1s,m1s,n2s,pre[4] m3s,m1s","tAn,brahma,uvAca,fziH,BArgavaH,tapaH,tapyate,daDIcaH","0,pn,0,adj,adj,0,0,pn"
mbh03_14642.xml,"m1s,x2p,ipf[2] a3s,pre[2] a3s,i,i,i,n7s,m1s,n1s,m1s,i,pre[1] a3s","sa,naH,abravIt,asti,Kalu,iha,eva,sarasi,akUparaH,nAma,kacCapaH,prati,vasati","0,0,0,0,0,0,0,0,pn,0,0,preverb,0"
mbh03_14557.xml,"m3p,x1s,ipv[2] a2s,m6s,m1s,m1s,x6s,m1d,i,x6s,m1d,i,ipv[2] a2s","tEH,tvam,yAhi,kzatriyasya,eza,vAhaH,mama,vAmyO,na,tava,etO,hi,vidDi","0,0,0,0,0,0,0,0,0,0,0,0,0"
mbh12_26053.xml,"m6s,iic,m7s,iic,m7s,n2p,n2p,m1s,iic,i,n2s,ipf[8] a3s","tasya,parama,Atmani,ava,sfte,tAni,asTIni,DAtA,sam,gfhya,vajram,akarot","0,0,0,preverb,pp.,0,0,pn,preverb,0,0,0"
mbh12_26043.xml,"n2s,pre[1] a2s,x4p,iic,i,n2s,n2s,iic,n2s,i","tat,arhasi,naH,vi,DAtum,SreyaH,yat,an,antaram,iti","0,0,0,preverb,inf,0,0,0,0,0"
mbh03_14586.xml,"m1p,i,pre[1] a1s,x4p,n2s,i,pre[2] a1s,m2s,m2s,i,iic,i","ikzvAkavaH,hanta,carAmi,vaH,priyam,ni,hanmi,imam,vipram,adya,pra,maTya","pn,0,0,0,0,preverb,0,0,0,0,preverb,abs"
mbh12_26034.xml,"i,f2p,m1s,ipf[2] a3s,i,i,iic,m1p,m1p,i,fut a3p,i","aTa,tAH,viSvarUpaH,abravIt,adya,eva,sa,indrAH,devAH,na,Bavizyanti,iti","0,0,pn,0,0,0,0,bv,0,0,0,0"
mbh03_14606.xml,"m1s,prf a3s","mArkaRqeyaH,uvAca","pn,0"
mbh12_26166.xml,"n1s,n1s,i,i,iic,n3s,iic,m3s,n1s,n1s,pre p3s","tat,etat,adya,api,vaqavAmuKa,saYjYitena,anu,vartinA,toyam,sAmudram,pIyate","0,0,0,0,pn, ctp6,ctp3,preverb,0,0,0,0"
mbh01_7118.xml,"m6s,m1s","purUrvasaH,AyuH","0,0"
mbh12_26080.xml,"m6s,m7s,x2s,i,fut a1s,n3p,i,i,n3p,i","tasya,avaBfTe,tvAm,upa,gamizyAmi,kEH,cit,eva,ahoBiH,iti","0,0,0,preverb,0,0,0,0,0,0"
mbh12_26120.xml,"i,m1p,m1p,i,m2s,i,ipf[4] a3p,i,i,f2s,prf a3p,ipv[1] a2s,fvs,m2s,cau ipv m2s,i","tataH,devAH,fzayaH,ca,indram,na,apaSyan,yadA,tadA,SacIm,UcuH,gacCa,suBage,indram,Anayasva,iti","0,0,0,0,pn,0,0,0,0,pn,0,0,ctp prAdi,0,0,0"
mbh12_26118.xml,"i,m1s,m1s,m2p,ipf[2] a3s,iic,m2s,m2s,m2s,m1s,i,ipv[1] a3s","tataH,sa,varadaH,tAn,abravIt,aSva,meDam,yajYam,vEzRavam,SakraH,aBi,yajatu","0,0,adj,0,0,0,adj ctp6,0,adj,pn,0,0"
mbh01_964.xml,"m1s,m1s,i,m3p,iic,n7s,n2s,i,pre[2] m3s","janamejayaH,pArikzitaH,saha,BrAtfBiH,kuru,kzetre,dIrGasatram,upa,Aste","0,0,0,0,0,0,0,0,0"
mbh03_14457.xml,"i,i,i,f2s,f6s,i,n7s,i,i,f3s,f3s,i,ipf[1] a3s","dfzwvA,eva,ca,tAm,tasyAH,eva,tIre,saha,eva,tayA,devyA,vi,atizWat","abs,0,0,0,0,0,0,0,0,0,0,preverb,0"
mbh12_26087.xml,"f1s,f1s,iic,n2s,aor[root] a3s","sA,upaSrutiH,SacI,samIpam,agAt","0,pn,pn,ctp6,0"
mbh12_26104.xml,"x1s,n3s,iic,i,pre[1] a2s,i","tvam,anyena,upa,yAtum,arhasi,iti","0,0,preverb,abs,0,0"
mbh03_14458.xml,"i,f2s,f2s,m1s,m1s,ipf[2] a3s","aTa,tAm,devIm,sa,rAjA,abravIt","0,0,0,0,0,0"
