lexid,filename,sentence,word
preveb,mbh12_13944.xml,"['yat', 'etat', 'cAtura', 'ASramyam', 'brahma', 'fzi', 'vi', 'hitam', 'purA']",hitam
inf,mbh12_26043.xml,"['tat', 'arhasi', 'naH', 'vi', 'DAtum', 'SreyaH', 'yat', 'an', 'antaram', 'iti']",DAtum
inf,mbh03_14562.xml,"['ye', 'tvA', 'viduH', 'brAhmaRam', 'vAmadeva', 'vAcA', 'hantum', 'manasA', 'karmaRA', 'vA']",hantum
adj_ctp2,pt1302.xml,"['kim', 'ca', 'yudDam', 'aNgI', 'kftavantam', 'kadA', 'cit', 'dA', 'cit', 'garuqa', 'A', 'rUQam', 'mAm', 'paSyantaH', 'vAsudevam', 'matvA', 'SatravaH', 'pra', 'parA', 'ayate', 'uktam', 'ca']",rUQam
adj_ctp2,pt821.xml,"['jambukaH', 'huqa', 'yudDena', 'vayam', 'ca', 'AzAQaBUtinA', 'dUtikA', 'para', 'kAryeRa', 'trayaH', 'dozAH', 'svayam', 'kftAH']",kftAH
adverb,mbh12_26014.xml,"['sa', 'pratyakzam', 'deveByaH', 'BAgam', 'adadat', 'parokzam', 'asureByaH']",pratyakzam
adverb,mbh03_14506.xml,"['SIGram', 'mAm', 'vahasva', 'iti']",SIGram
noun_ck,pt1875.xml,"['yadi', 'evam', 'BUyaH', 'vadasi', 'tat', 'tvAm', 'tat', 'kzaRAt', 'eva', 'hanizyAmi', 'yataH', 'mayA', 'tasya', 'a', 'Baya', 'pradAnam', 'dattam']",kzaRAt
noun_ck,pt1937.xml,"['etEH', 'tAvat', 'SoBA', 'vacanAni', 'aBi', 'hitAni', 'na', 'ca', 'ekaH', 'api', 'svAminA', 'vi', 'nASitaH']",vacanAni
 ctp5,mbh03_14416.xml,"['ayoDyAyAm', 'ikzvAku', 'kula', 'ut', 'pannaH', 'pArTivaH', 'parikzit', 'nAma', 'mfgayAm', 'agamat']",pArTivaH
 ctp5,mbh12_25998.xml,"['veda', 'purARa', 'itihAsa', 'prAmARyAt', 'nArAyaRa', 'muKa', 'ut', 'gatAH', 'sarva', 'AtmAnaH', 'sarva', 'kartAraH', 'sarva', 'BAvanAH', 'ca', 'brAhmaRAH']",sarva
vt9am,pt1632.xml,"['deSam', 'kAlam', 'kAryam', 'param', 'AtmAnam', 'ca', 'yaH', 'na', 'jAnAti', 'a', 'vi', 'mfSya', 'yaH', 'karoti', 'ca', 'na', 'sa', 'Palam', 'Apnoti', 'vE', 'mUrKaH']",jAnAti
adj ctp7,mbh12_13978.xml,"['tyakta', 'grAmya', 'vastra', 'AhAra', 'upaBogAH', 'vanya', 'OzaDi', 'mUla', 'Pala', 'parRa', 'pari', 'mita', 'vicitra', 'ni', 'yata', 'AhArAH', 'sTAna', 'AsaninaH', 'BUmi', 'pAzARa', 'sikatA', 'SarkarA', 'vAlukA', 'Basma', 'SAyinaH', 'kASa', 'kuSa', 'carma', 'valkala', 'saM', 'vfta', 'aNgAH', 'keSa', 'SmaSru', 'naKa', 'roma', 'DAriRaH', 'niyata', 'kAla', 'upasparSanAH', 'askanna', 'homa', 'bali', 'kAla', 'anu', 'zWAyinaH', 'samitkuSa', 'kusuma', 'upahAra', 'homa', 'arjana', 'labDa', 'viSrAmAH', 'SItA', 'uzRa', 'pavana', 'niH', 'tapta', 'vi', 'Binna', 'sarva', 'tvacaH', 'viviDa', 'niyama', 'yoga', 'carya', 'avihita', 'Darma', 'anu', 'zWAna', 'hfta', 'mAMsa', 'SoRitAH', 'tvak', 'asTi', 'BUtAH', 'Dfti', 'parAH', 'sattva', 'yogAt', 'SarIrARi', 'ud', 'vahanti']",pAzARa
pcl_disj,pt1396.xml,"['pUjyaH', 'banDuH', 'api', 'priyaH', 'api', 'tanayaH', 'BrAtA', 'vayasyaH', 'api', 'vA', 'yaH', 'mohAt', 'an', 'avadya', 'kArya', 'vimuKaH', 'heyaH', 'sa', 'kArya', 'arTinA', 'loke', 'hi', 'praTitAH', 'nanu', 'SrutiH', 'iyam', 'na', 'arTaH', 'api', 'gAyanti', 'yAm', 'kim', 'kAryam', 'kanakena', 'tena', 'Bavati', 'CedAya', 'karRasya', 'yat']",vA
pcl_disj,pt1565.xml,"['sva', 'janaH', 'aTa', 'suhft', 'guruH', 'nfpaH', 'vA', 'puruzeRa', 'utpaTagaH', 'ni', 'vAraRIyaH', 'vini', 'vartayitum', 'sa', 'cet', 'na', 'SakyaH', 'parataH', 'tasya', 'manas', 'anugam', 'vi', 'Deyam']",vA
vi5a,pt905.xml,"['tat', 'na', 'SaknumaH', 'pari', 'tyaktum']",SaknumaH
dem_adv,pt1083.xml,"['Badra', 'yadi', 'evam', 'tarhi', 'satvaram', 'darSaya', 'mama', 'tam', 'cOra', 'siMham', 'yena', 'etam', 'mfga', 'kopam', 'tasya', 'upari', 'kziptvA', 'svasTaH', 'BavAmi']",tarhi
